authors,series,series_index,timestamp,tags,formats,isbn,identifiers,languages,#kanon,comments,library_name,rating,cover,pubdate,#przeczytane,size,author_sort,title,title_sort,publisher,#chomik,#format,id,#kiedy,uuid
Roger Zelazny,Chronicles of Amber,2.0,2010-11-24T17:44:16+01:00,Fantasy,"epub, txt",9780783885049,isbn:9780783885049,,19,"<h3>Product Description</h3><p>Seeking vengeance against his usurping brother, Eric, Corwin, the rightful heir to the throne, ventures into the dark world of Shadow in order to gather ammunition, and is distracted by a beautiful and mysterious woman. Reissue. </p><h3>About the Author</h3><p>HUGO and NEBULA AWARD-WINNING author Roger burst onto the SF scene in the early 1960s with a series of dazzling and groundbreaking short stories. He won his first of six Hugo Awards for Lord of Light, and soon after produced the first book of his enormously popular Amber series, Nine Princes in Amber. In addition to his Hugos, he went on to win three Nebula Awards over the course of a long and distinguished career. He died on June 14, 1995. </p>",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Roger Zelazny/The Guns of Avalon (137)/cover.jpg,1999-03-15T00:00:00+01:00,True,384736,"Zelazny, Roger",The Guns of Avalon,"Guns of Avalon, The",G.K. Hall,,,137,2012-04-18T00:00:00+02:00,bdca00f2-f374-41af-8653-e049850ac14f
Roger Zelazny,Chronicles of Amber,3.0,2010-11-24T17:44:17+01:00,Fantasy,"epub, txt",9780783885056,isbn:9780783885056,,19,"<h3>Product Description</h3><p>Accepting the responsibilities as ruler to the world of Amber, Corwin finds himself the target of sibling treachery, and must seek guidance in a land of visions, where a sinister prediction foretells his doom. Reissue. </p>",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Roger Zelazny/Sign of the Unicorn (138)/cover.jpg,1999-04-15T00:00:00+02:00,True,328606,"Zelazny, Roger",Sign of the Unicorn,Sign of the Unicorn,G.K. Hall,,,138,2012-05-21T00:00:00+02:00,e41fd59f-dc0c-4859-aa18-fca1e61ee93d
Roger Zelazny,Chronicles of Amber,4.0,2010-11-24T17:44:17+01:00,Fantasy,"epub, txt",9780783889856,isbn:9780783889856,,19,"SUMMARY: The fourth novel follows Corwin and the remaining princes of Amber as they use their superhuman powers to defeat their brother-turned-traitor.Returning to Shadow Earth to investigate a threat against his life, Corwin discovers that the Jewel of Judgment has been stolen by his traitorous brother, Brand, who plans to use the gem to reshape the universe.",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Roger Zelazny/The hand of Oberon (139)/cover.jpg,2000-03-15T00:00:00+01:00,True,324416,"Zelazny, Roger",The hand of Oberon,"hand of Oberon, The",G.K. Hall,,,139,2012-06-23T00:00:00+02:00,2aa0ec41-0adb-4e34-98f3-0bdda37c1d16
Roger Zelazny,Chronicles of Amber,5.0,2010-11-24T17:44:18+01:00,Fantasy,"epub, txt",9780380471751,isbn:9780380471751,,19,"SUMMARY: Amber reveals the mysteries of King Oberon's disappearance, the hell-witch's identity, and the magical pattern that holds the kingdom of Amber together, but his victory over the Dark Lands remains in doubt SUMMARY: Amber reveals the mysteries of King Oberon's disappearance, the hell-witch's identity, and the magical pattern that holds the kingdom of Amber together, but his victory over the Dark Lands remains in doubt",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Roger Zelazny/The courts of chaos (140)/cover.jpg,1978-09-15T00:00:00+02:00,True,276397,"Zelazny, Roger",The courts of chaos,"courts of chaos, The",Doubleday,,,140,2012-07-24T00:00:00+02:00,2cd2a853-f657-4c1a-ac88-4912c420ea53
Roger Zelazny,Chronicles of Amber,6.0,2010-11-24T17:44:19+01:00,Fantasy,"epub, txt",9780783891606,isbn:9780783891606,,19,"SUMMARY: Like clockwork, California computer hacker Merle Corey is nearly murdered every April 30th by a persistent unknown assailant. For, in reality, Merle is Merlin, son of the missing, possibly mad Prince Corwin of the royal house of Amber. But bestial claws have ripped too close to Merlin's heart this time -- forcing him to flee Shadow Earth with his remarkable Ghostwheel. And now Merlin's destiny resides in the one true world -- where answers can only beget more dangerous questions . . .",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Roger Zelazny/Trumps of Doom (141)/cover.jpg,2000-09-15T00:00:00+02:00,True,343964,"Zelazny, Roger",Trumps of Doom,Trumps of Doom,Thorndike Press,,,141,2012-09-23T23:47:43+02:00,5672405a-a90a-49e6-9321-5b59d8f7a366
Roger Zelazny,Chronicles of Amber,7.0,2010-11-24T17:44:20+01:00,"Wizards, Fantasy","epub, txt",9780877958291,isbn:9780877958291,,19,"<h3>From Publishers Weekly</h3><p>Some fans of Zelazny's dense, brilliant writings from the '60s have been dismayed at the time and effort he has invested in his Amber series during the past 16 years. If these fantasy adventures are simple and formulaic compared with his best work, they have earned him a whole new audience by virtue of their elegance, humor, literacy, vivid action and lightly applied but complex background of tarot, alternate worlds, Olympian gods, and a magic so neat and clear that computers can learn it. In this seventh installment, the sorcerer Merlin of Amberaka Merle Corey of San Franciscolearns the identities of two would-be assassins but makes a truce with one to pursue the greater, more dangerous power beyond them. Once again, the limited plot is enlivened by Zelazny's irony, his bravura sequences (particularly a harbor visit that turns nasty in Death Alley) and his laconic sense of the incongruous (are magicians the ultimate surrealist artists?). Paperback rights to Avon; Science Fiction Book Club main selection. <br />Copyright 1986 Reed Business Information, Inc. </p><h3>Product Description</h3><p>Surrounded and imprisoned by his enemies, Merle Corey, aka Merlin of Amber, is forced to place his trust in a beautiful shapeshifter in order to restore balance to his world and confronts a force that threatens Earth as well. Reissue. </p>",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Roger Zelazny/Blood of amber (143)/cover.jpg,1986-09-15T00:00:00+02:00,True,419182,"Zelazny, Roger",Blood of amber,Blood of amber,Arbor House,,,143,2012-10-17T02:10:55+02:00,a4a7f18f-1282-4cc2-8a35-be97cfda3e0e
Roger Zelazny,Chronicles of Amber,8.0,2010-11-24T17:44:20+01:00,Fantasy,"epub, txt",9780877959267,isbn:9780877959267,,19,"<h3>From Library Journal</h3><p>The further adventures of the second generation of the Courts of Amber and Chaos continue as Merlin Corey, his brother Mandor, and his cousin and erstwhile rival Luke face down a mysterious sorcerer in the Keep of the Four Winds. The eighth in Zelazny's Amber novels marks a return to the complicated dynastic intrigues that characterized earlier titles and leaves room for further developments. Recommended where the series is popular. JC<br />Copyright 1987 Reed Business Information, Inc. </p><h3>Product Description</h3><p>Trapped beyond the Looking Glass where he is virtually unprotected, Merlin of Amber meets a host of colorful characters including the Mad Hatter and Cheshire Cat, and he confronts his ultimate enemy, a girlfriend returned from the grave. Reissue. </p>",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Roger Zelazny/Sign of chaos (144)/cover.jpg,1987-10-14T23:00:00+01:00,True,398187,"Zelazny, Roger",Sign of chaos,Sign of chaos,Arbor House,,,144,2012-11-27T21:48:32+01:00,036f4a3c-18c0-4f43-aa05-7395528b8104
Roger Zelazny,Chronicles of Amber,9.0,2010-11-24T17:44:21+01:00,Fantasy,"epub, txt",9780783892931,isbn:9780783892931,,19,"<h3>From Publishers Weekly</h3><p>Depending on how you count, this is either the ninth book of Zelazny's Amber series, or the fourth book in the new Amber ""trilogy."" Fans of the soap opera that Amber has become will welcome this new title. Readers who enjoyed the poetic writing, skilled plotting and crafted characterizations of the original Amber books will be disappointed again. Merlin, son of Corwin, who was the hero of the original series, narrates this sequence, and here continued to bumble through encounters with new powers that are completely incompatible with the original mythos. The good guys won't talk to each other, the bad guys somehow know everything, plot elements are left hanging and characters lack depth and motivation. Most of the important action happens offstage, and promised explanations never materialize. <br />Copyright 1989 Reed Business Information, Inc. </p><h3>From Library Journal</h3><p>Lured by his own good intentions into a soundless netherworld which diminishes his innate magic, Merlin confronts his dual heritage as a pawn in the rivalry between the Courts of Amber and Chaos in the ninth volume of the author's popular Amber series. Combining political intrigue, swashbuckling adventure, magical duels, and modern technology, Zelazny's latest novel, though dependent on its predecessors, will appeal to series fans. Recommended. Previewed in Prepub Alert, LJ 6/15/89.<br />Copyright 1989 Reed Business Information, Inc. </p>",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Roger Zelazny/Knight of Shadows (145)/cover.jpg,2001-05-15T00:00:00+02:00,False,412363,"Zelazny, Roger",Knight of Shadows,Knight of Shadows,G.K. Hall,,,145,,308eb4d1-e2f5-49f5-b4c7-6466bcf58640
Roger Zelazny,Chronicles of Amber,10.0,2010-11-24T17:44:21+01:00,Fantasy,"epub, txt",9780783892924,isbn:9780783892924,,19,"<h3>From Library Journal</h3><p>Merlin, whose blood unites the royal houses of the true world of Amber and the Courts of Chaos, becomes drawn deeper into the complex plots and counterplots of both worlds as forces conspire to place him on Chaos's throne--despite his own intentions. Zelazny's celebrated ""Amber"" chronicles (begun in 1970), of which this novel is the tenth, portrays the ultimate in virtual realities. With this volume, the author finds new grounds to explore and shows no sign of winding down to a conclusion. Filled with Zelazny's characteristically snappy prose, this title is recommended where the series has a following.<br />Copyright 1991 Reed Business Information, Inc. </p><h3>From Kirkus Reviews</h3><p>Tenth book of the series that commenced in 1970 with Nine Princes in Amber and proceeded to Knight of Shadows (1989), wherein wizard Merle Corey remains central to the power struggle between the two opposing, sentient poles of magic, Amber's Pattern and the Courts of Chaos's Logrus. As the King of Chaos, Swayvill, finally dies, Merle is third in succession to the throne. By then the two who precede Merle die in mysterious circumstances, and it emerges that Merle's mother Dara and brother Mander are conspiring to ensorcell Merle and place him on the throne of Chaos as their puppet. Usefully, Merle makes friends with a number of former foes, then discovers that his long-lost father Corwin is still alive, as Dara's prisoner. Meanwhile, since the Pattern is slightly stronger than the Logrus, the Logrus kidnaps and conceals Coral, keeper of the powerful Jewel of Judgment. Glum, talky, and threadbare. Even more depressing, Zelanzy seems to be clearing the way for yet more additions to this already absurdly and pointlessly overextended series. -- <em>Copyright ©1991, Kirkus Associates, LP. All rights reserved.</em></p>",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Roger Zelazny/Prince of Chaos (146)/cover.jpg,2001-08-15T00:00:00+02:00,False,426672,"Zelazny, Roger",Prince of Chaos,Prince of Chaos,Thorndike Press,,,146,,c07fda97-5550-4774-a7f0-8bad6ed70dd8
Sheri S. Tepper,Land of the True Game,4.0,2010-11-24T20:48:15+01:00,,"epub, lit",9780552128346,isbn:9780552128346,,43,,Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Sheri S. Tepper/The chronicles of Mavin Manyshaped (147)/cover.jpg,1986-12-12T00:00:00+01:00,,517296,"Tepper, Sheri S",The chronicles of Mavin Manyshaped,"chronicles of Mavin Manyshaped, The",Corgi,,FINE,147,,9593f6dc-fc81-4b18-b6a6-52ac7c40729f
Sheri S. Tepper,,1.0,2010-11-24T20:48:16+01:00,,"epub, lit",,,,43,,Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Sheri S. Tepper/The End of the Game (148)/cover.jpg,2010-11-24T20:48:16+01:00,,1013579,"Tepper, Sheri S.",The End of the Game,"End of the Game, The",,,FINE,148,,d19476b0-9b43-4eac-a877-698896e0041e
Sheri S. Tepper,Land of the True Game,1.0,2010-11-24T20:48:16+01:00,Fantasy,"epub, lit",9780441003310,isbn:9780441003310,,43,"<h3>Product Description</h3><p>Sheri S. Tepper, author of the <em>New York Times</em> Notable Book <em>Grass</em>, has helped redefine speculative fiction. Award winner, national bestseller, and one of the genre's most respected and acclaimed talents, she has transcended the boundaries of science fiction and fantasy with her widespread success. Available for the first time in one volume, this is the long out-of-print trilogy that launched her remarkable career: <em>King's Blood Four</em>, <em>Necromancer Nine</em>, and <em>Wizard's Eleven</em>.   </p><p>In the lands of the <em>True Game</em>, your lifelong identity emerges as you play-Prince or Sorcerer, Demon or Doyen. Raising the dead is the least of the Necromancer's Talents-he is a wild card who threatens the True Game itself. A giant stalks the mountains. Shadowpeople gather by the light of the moon. Bonedancers raise up armies of the dead. And the Wizard's Eleven sleep trapped in their dreams. Players, take your places. The final Game begins now... </p><h3>About the Author</h3><p>Sheri S. Tepper is the acclaimed author of the <em>New York Times</em> Notable Book and Hugo Award-nominated <em>Grass</em>, as well as <em>Beauty</em>, which won <em>Locus</em> magazine's Award for Best Fantasy Novel, the Edgar(r) Award-nominated Dead in the Scrub (written under the name B.J. Oliphant), and <em>Gibbon's Decline and Fall</em>, which was shortlisted for the Arthur C. Clarke Award. She has two children. </p>",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Sheri S. Tepper/The True Game (149)/cover.jpg,1996-06-15T00:00:00+02:00,True,1046869,"Tepper, Sheri S.",The True Game,"True Game, The",Ace Books,,FINE,149,2008-06-01T00:00:00+02:00,a8e09cf9-d169-4ff7-b9a3-388ff95136cf
Tad Williams,"Memory, Sorrow and Thorn",1.0,2010-11-24T20:48:18+01:00,"Fantasy, Magic","epub, pdf",,,,59,"SUMMARY:  
From the bestselling author of Tailchaser's Song comes the first volume in an epic fantasy trilogy with all the magic, wonder, and magnificence of Tolkien's The Lord of the Rings. A young magician's apprentice's dreams of adventure come true when his world is torn apart by war and dark sorcery. Advertising in Locus.
",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Tad Williams/The Dragonbone Chair (150)/cover.jpg,1988-09-30T00:00:00+01:00,True,1560751,"Williams, Tad",The Dragonbone Chair,"Dragonbone Chair, The",DAW Books,,DONE,150,2004-12-18T00:00:00+01:00,96971526-e334-407d-bb4f-88955661a4db
Tad Williams,"Memory, Sorrow and Thorn",2.0,2010-11-24T20:48:19+01:00,Fantasy,"epub, rtf",9781101160787,isbn:9781101160787,,59,"<h3>From Publishers Weekly</h3><p>In this panoramic, vigorous, often moving sequel to The Dragonbone Chair , the scattered allies opposing the pirate Elias, high king of Osten Ard, and Ineluki, the Storm King, struggle toward a meeting at the Stone of Farewell in the ancient, deserted city of Enki-e-Shao'saye. The boy Simon, the troll Binabek and their companions carry Thorn, one of three swords critical to the defeat of the forces of evil. After surviving many perils, Simon becomes the only mortal to enter Jao e-Tinukai'i, last refuge of the elven Sithi, seeking their support. A small band follows Prince Josua, leader of the resistance against his brother Elias; they are betrayed by the chieftain of the nomadic Thrithings-folk. As Elias consolidates his power with the aid of the Norns, the Storm King brings permanent winter to a stricken land. Williams adroitly weaves together the tales of these journeys, heralding a suitably epic and glorious conclusion. <br />Copyright 1990 Reed Business Information, Inc. </p><h3>From Library Journal</h3><p>The advancing might of Ineluki the Storm King and his undead minions threatens to lock the world in eternal winter unless the tattered forces ranged against him can discover the secrets of the League of the Scroll and unite humans, Sithi elves, and Qanuc trolls. Continuing the story begun in The Dra gonbone Chair (LJ 9/15/88), Williams fleshes out the familiar themes of epic fantasy with vivid, likable characters and exotic cultures. Recommended.<br />Copyright 1990 Reed Business Information, Inc. </p>",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Tad Williams/The Stone of Farewell (151)/cover.jpg,2005-04-05T00:00:00+02:00,,1713811,"Williams, Tad",The Stone of Farewell,"Stone of Farewell, The",Penguin,,DONE,151,,d866e954-6255-4e17-9551-92c33fd4f280
Tad Williams,"Memory, Sorrow and Thorn",3.0,2010-11-24T20:48:21+01:00,"Fantasy, Magic","epub, pdf",9780756402983,isbn:9780756402983,,59,"### From Publishers Weekly

This sprawling, spellbinding conclusion to the trilogy that began with The Dragonbone Chair weaves together a multitude of intricate strands, building to a suitably apocalyptic confrontation between good and evil. Prince Josua wins a first victory against the forces of his brother, Elias, who rules as High King in Osten Ard. Elias has the help of the dark priest Pryrates and of Ineluki the Storm King, onetime ruler of the immortal Sithi (the race that preceded humans). But others defy him, including Elias's own daughter, Princess Miriamele, the scullion turned knight Simon, and Camaris, once one of the greatest knights of Osten Ard and wielder of the sword Thorn, one of the three weapons that may effect a victory over Elias's hordes. As Josua's forces-- augmented by those Elias has wronged and by friendly Sithi--approach the king's stronghold, a secret battle takes place in the underlying caverns. It will affect not only the conflict's outcome, but also the futures of many races. The main caveat to Williams's engrossing epic is its length. A tetralogy might have been more easily digested, although that format might have drained some of the extraordinary tension built up in the book's closing pages.   
Copyright 1993 Reed Business Information, Inc. 

### From School Library Journal

YA-This culmination of the trilogy is incredibly long and carries, besides the story, a dictionary of names, places, and other necessary information. It tells of the final battle between the forces of good and evil in the land of Osten Ard, a mythical place not unlike medieval Europe. Clearly, the author has been influenced not only by Tolkien, but also by Wagner's ""Ring"" story. Everything in Williams's narrative is larger than life-the individuals, the battles, the mysticism and magic. Yet his painstaking detail ensures that the world he creates is as believable and immediate as readers' everyday lives. The main character, Simon, is a reluctant hero. He is a superior warrior, yet he hates violence. He has been chosen as a seer by mystical beings who wish to aid his human counterparts, but he is never sure of his own worth. He understands cosmic truths, but considers himself ignorant. All action spins around Simon, but the book is replete with many other interesting characters, all fully developed. Enjoying the story's wealth of entertainment can literally take months, but for the author's fans it will be a treasure. It can also stand on its own.  
*Jessica Lahr, Edison High School, Fairfax County, VA*  
Copyright 1993 Reed Business Information, Inc. 
",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Tad Williams/To Green Angel Tower (152)/cover.jpg,2005-05-03T00:00:00+02:00,,1534773,"Williams, Tad",To Green Angel Tower,To Green Angel Tower,DAW Books,,DONE,152,,dc0e953f-2a90-4557-b96d-ed2de742bbec
Tad Williams,"Memory, Sorrow and Thorn",4.0,2010-11-24T20:48:21+01:00,Fantasy,"epub, pdf",9781417779857,isbn:9781417779857,,59,"### From Publishers Weekly

This sprawling, spellbinding conclusion to the trilogy that began with The Dragonbone Chair weaves together a multitude of intricate strands, building to a suitably apocalyptic confrontation between good and evil. Prince Josua wins a first victory against the forces of his brother, Elias, who rules as High King in Osten Ard. Elias has the help of the dark priest Pryrates and of Ineluki the Storm King, onetime ruler of the immortal Sithi (the race that preceded humans). But others defy him, including Elias's own daughter, Princess Miriamele, the scullion turned knight Simon, and Camaris, once one of the greatest knights of Osten Ard and wielder of the sword Thorn, one of the three weapons that may effect a victory over Elias's hordes. As Josua's forces-- augmented by those Elias has wronged and by friendly Sithi--approach the king's stronghold, a secret battle takes place in the underlying caverns. It will affect not only the conflict's outcome, but also the futures of many races. The main caveat to Williams's engrossing epic is its length. A tetralogy might have been more easily digested, although that format might have drained some of the extraordinary tension built up in the book's closing pages.   
Copyright 1993 Reed Business Information, Inc. 

### From School Library Journal

YA-This culmination of the trilogy is incredibly long and carries, besides the story, a dictionary of names, places, and other necessary information. It tells of the final battle between the forces of good and evil in the land of Osten Ard, a mythical place not unlike medieval Europe. Clearly, the author has been influenced not only by Tolkien, but also by Wagner's ""Ring"" story. Everything in Williams's narrative is larger than life-the individuals, the battles, the mysticism and magic. Yet his painstaking detail ensures that the world he creates is as believable and immediate as readers' everyday lives. The main character, Simon, is a reluctant hero. He is a superior warrior, yet he hates violence. He has been chosen as a seer by mystical beings who wish to aid his human counterparts, but he is never sure of his own worth. He understands cosmic truths, but considers himself ignorant. All action spins around Simon, but the book is replete with many other interesting characters, all fully developed. Enjoying the story's wealth of entertainment can literally take months, but for the author's fans it will be a treasure. It can also stand on its own.  
*Jessica Lahr, Edison High School, Fairfax County, VA*  
Copyright 1993 Reed Business Information, Inc. 
",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Tad Williams/To Green Angel Tower (Part 2) (153)/cover.jpg,1994-07-15T00:00:00+02:00,,1866419,"Williams, Tad",To Green Angel Tower (Part 2),To Green Angel Tower (Part 2),Turtleback Books,,DONE,153,,48bd3454-eb10-40c9-b57c-134cffe2a72c
Jack Vance,The Dying Earth,1.0,2010-11-24T21:18:49+01:00,,,9780671441845,"amazon:0671441841,isbn:9780671441845",eng,6,"The stories included in The Dying Earth introduce dozens of seekers of wisdom and beauty, lovely lost women, wizards of every shade of eccentricity with their runic amulets and spells. We meet the melancholy deodands, who feed on human flesh and the twk-men, who ride dragonflies and trade information for salt. There are monsters and demons. Each being is morally ambiguous: The evil are charming, the good are dangerous. All are at home in Vance’s lyrically described fantastic landscapes like Embelyon where, “The sky [was] a mesh of vast ripples and cross-ripples and these refracted a thousand shafts of colored light, rays which in mid-air wove wondrous laces, rainbow nets, in all the jewel hues....” The dying Earth itself is otherworldly: “A dark blue sky, an ancient sun.... Nothing of Earth was raw or harsh―the ground, the trees, the rock ledge protruding from the meadow; all these had been worked upon, smoothed, aged, mellowed. The light from the sun, though dim, was rich and invested every object of the land ... with a sense of lore and ancient recollection.” Welcome. “The Dying Earth and its sequels comprise one of the most powerful fantasy/science-fiction concepts in the history of the genre. They are packed with adventure but also with ideas, and the vision of uncounted human civilizations stacked one atop another like layers in a phyllo pastry thrills even as it induces a sense of awe [at] ... the fragility and transience of all things, the nobility of humanity’s struggle against the certainty of an entropic resolution.” ― Dean Koontz, author of the Odd Thomas novels. “He gives you glimpses of entire worlds with just perfectly turned language. If he’d been born south of the border, he’d be up for a Nobel Prize.” ― Dan Simmons author of The Hyperion Cantos.

### About the Author

Jack Vance is one of the greats of science fiction. He has been writing for more than 60 years, and in 1997 was honored as a Grand Master by the Science Fiction Writers of America. He is the author of dozens of science fiction and fantasy novels, including the World Fantasy Award winning Lyonnesse series, and the Hugo and Nebula Award-winning The Last Castle. He lives in Oakland, California. 

### From AudioFile

Technology has come full circle and is intertwined with and, in some cases, is indistinguishable from magic. This collection of linked short stories is set against the backdrop of an earth that is long past its prime. Four of the stories share a number of the same characters, but all are connected through setting and mood. Arthur Morey is a consistent storyteller who uses pace and timing to good effect. He imparts the awe of the characters in describing the natural beauty of the earth. Further, he has a light touch as he depicts their wistfulness and nostalgia toward the changes taking place as the earth continues to fade. J.E.M. © AudioFile 2010, Portland, Maine 
",Biblioteka calibre,4,/home/amarcinkowski/Dropbox/Biblioteka calibre/Jack Vance/The Dying Earth (154)/cover.jpg,1982-04-02T02:00:00+02:00,True,304272,"Vance, Jack",The Dying Earth,"Dying Earth, The",Pocket Books,,DONE,154,2006-10-26T00:00:00+02:00,5ff6615e-1e95-4203-b0b8-c09c2d1e1eb4
Fritz Leiber,Fafhrd and the Gray Mouser,1.0,2010-11-24T21:20:00+01:00,Fantasy,"epub, txt",9781595820792,isbn:9781595820792,,8,"<h3>Product Description</h3><p>One of the most influential and critically acclaimed fantasy writers of all time, Fritz Leiber pioneered the sword-and-sorcery genre! In the ancient city of Lankhmar, two men forge a friendship in battle. The red-haired barbarian Fafhrd left the snowy reaches of Nehwon looking for a new life while the Gray Mouser, apprentice magician, fled after finding his master dead. These bawdy brothers-in-arms cement a friendship that leads them through the wilds of Nehwon facing thieves, wizards, princesses and the depths of their desires and fears. Superb writing and brilliant, believable characterizations highlight the first entry in Leiber's seminal series. </p><h3>About the Author</h3><p>Fritz Leiber (1910-1992) was equally adept at writing science fiction, fantasy and horror. His works were honored with the Hugo, Nebula and World Fantasy awards. He was named a Grand Master by the Science Fiction and Fantasy Writers of America and received the Gandalf Grand Master Award for fantasy writing. The Big Time is his most famous SF novel. </p>",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Fritz Leiber/Swords and Deviltry (155)/cover.jpg,2006-11-15T00:00:00+01:00,,715930,"Leiber, Fritz",Swords and Deviltry,Swords and Deviltry,DH Press,,,155,,62a9620d-b38d-40d5-a0ad-7c5df77683b9
Fritz Leiber,Przygody Fafryda i Szarego Kocura,0.0,2010-11-24T21:20:01+01:00,magia i miecz,"epub, txt",9788370015947,isbn:9788370015947,pol,8,,Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Fritz Leiber/Miecze i ciemne sily (156)/cover.jpg,1970-01-01T01:00:00+01:00,,387274,Nieznany,Miecze i ciemne siły,Miecze i ciemne siły,Alfa,,DONE,156,,88b59fd9-77fd-46f1-8f2d-a0c547482203
Michael Moorcock,,1.0,2010-11-24T21:20:01+01:00,Fantasy,"epub, txt",9780575082700,isbn:9780575082700,,14,"SUMMARY:  
Elric of Melnibone, the haunted, treacherous and doomed albino sorcerer-prince, is one of the great creations of modern fantasy. An introspective weakling in thrall to his soul-eating sword, Stormbringer, he is yet a hero whose bloody adventures and wanderings lead inexorably to his decisive intervention in the war between the forces of Law and Chaos. A fantasy classic, Elric of Melnibone is an exceptional fantasy icon of violence, power, politics and war and his tales make up a fantasy masterpiece.
",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Michael Moorcock/Elric of Melnibone (157)/cover.jpg,2008-04-03T00:00:00+02:00,True,267418,"Moorcock, Michael",Elric of Melnibone,Elric of Melnibone,Victor Gollancz Limited,,,157,2006-05-28T00:00:00+02:00,6a3b583f-ba7f-44f9-b7db-8c8a8c39f4a1
Roger Zelazny,,1.0,2010-11-24T21:20:02+01:00,,"epub, txt",9788385202080,"google:P52atgAACAAJ,isbn:9788385202080,biblionetka:2900",pol,18,"Jestem Widmowy Jack. Władca Strażnicy Cieni, złodziej, który skrada się w ciszy i półmroku. Zostałem ścięty w Igles i ponownie powstałem z Otchłani Łajna w Glywe. Wypiłem krew wampirzycy i pożarłem kamień. To ja złamałem Przymierze, fałszując imię w Czerwonej Księdze Łokci. To ja byłem więźniem klejnotu. Raz już wystrychnąłem na dudka Władcę Wielkiego Gniewu. Powrócę jeszcze, aby się na nim zemścić. Jestem wrogiem moich wrogów.   
  
[Rebis, 1991]
",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Roger Zelazny/Widmowy Jack (158)/cover.jpg,1971-01-01T01:00:00+01:00,True,253577,"Zelazny, Roger",Widmowy Jack,Widmowy Jack,Dom Wydawniczy Rebis,,,158,2006-02-28T00:00:00+01:00,560e02ab-b967-46a7-9dc6-4c184bed76be
Michael Ende,,1.0,2010-11-24T21:20:03+01:00,"Fantasy, książka w książce, baśnie, magia","epub, txt",9788324013500,"isbn:9788324013500,biblionetka:1155",pol,27,"Niezwykła opowieść o chłopcu, który osierocony przez matkę i zaniedbywany przez ojca, odnajduje w antykwariacie tajemniczą książkę. Dzięki niej jego życie zmienia się z dnia na dzień, a magiczna moc przenosi go do fantastycznego świata, któremu grozi zagłada. Bastian okazuje się jedyną osobą, która może uratować piękną księżniczkę i krainę wyobraźni.   
  
Wspaniała baśń nie tylko dla dzieci.   
  
[Siedmioróg, 2000]
",Biblioteka calibre,,,1979-01-01T01:00:00+01:00,True,680050,"Ende, Michael",Nie kończąca się historia,Nie kończąca się historia,ZNAK,,,159,2006-06-28T00:00:00+02:00,37472ba2-576f-4faf-8782-20a3462c44da
